Junction Port Matrix:;Compressor;Condenser;Expansion Valve;Evaporator;Pump 1;Cooling Coil;Pump 2;Heating Coil 1;Heating Coil 2;Valve 1;Valve 2;Valve 3;Valve 4;Fluid Loop;Source / Sink
Junction 1;1;0;0;-3;0;0;0;0;0;0;0;0;0;1;0
Junction 2;-1;2;0;0;0;0;0;0;0;0;0;0;0;1;0
Junction 3;0;-2;1;0;0;0;0;0;0;0;0;0;0;1;0
Junction 4;0;0;-1;3;0;0;0;0;0;0;0;0;0;1;0
Junction 5;0;0;0;-2;0;3;0;0;0;1;0;0;0;2;0
Junction 6;0;0;0;0;0;-3;0;0;0;1;0;0;0;2;0
Junction 7;0;0;0;0;1;0;0;0;0;-1;0;0;0;2;0
Junction 8;0;0;0;2;-1;0;0;0;0;0;0;0;0;2;0
Junction 9;0;0;0;0;0;0;1;0;0;0;0;0;-1;3;0
Junction 10;0;3;0;0;0;0;-1;0;0;0;0;0;0;3;0
Junction 11;0;-3;0;0;0;0;0;2;2;0;1;1;1;3;0
Junction 12;0;0;0;0;0;0;0;-2;0;0;1;0;0;3;0
Junction 13;0;0;0;0;0;0;0;0;-2;0;0;1;0;3;0
Junction 14;0;0;0;0;0;0;0;0;0;0;-1;-1;1;3;0
S1;0;0;0;0;0;2;0;0;0;0;0;0;0;4;1
S2;0;0;0;0;0;-2;0;0;0;0;0;0;0;4;-1
S3;0;0;0;0;0;0;0;3;0;0;0;0;0;5;1
S4;0;0;0;0;0;0;0;-3;0;0;0;0;0;5;-1
S5;0;0;0;0;0;0;0;0;3;0;0;0;0;6;1
S6;0;0;0;0;0;0;0;0;-3;0;0;0;0;6;-1
