Junction Port Matrix:;Compressor;Condenser;Separator;Expansion Valve;Evaporator;Pump 1;Cooling Coil;Mixing Valve 1;Pump 2;Heating Coil;Mixing Valve 2;Source Cooling Coil;Sink Cooling Coil;Source Heating Coil;Sink Heating Coil;Fluid Loop;Source / Sink
Junction 1;1;0;0;0;-3;0;0;0;0;0;0;0;0;0;0;1;0
Junction 2;-1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Junction 3;0;-2;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Junction 4;0;0;-6;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Junction 5;0;0;0;-1;3;0;0;0;0;0;0;0;0;0;0;1;0
Junction 6;0;0;0;0;0;1;0;-9;0;0;0;0;0;0;0;2;0
Junction 7;0;0;0;0;2;-1;0;0;0;0;0;0;0;0;0;2;0
Junction 8;0;0;0;0;-2;0;3;7;0;0;0;0;0;0;0;2;0
Junction 9;0;0;0;0;0;0;-3;8;0;0;0;0;0;0;0;2;0
Junction 10;0;0;0;0;0;0;0;0;1;0;-9;0;0;0;0;3;0
Junction 11;0;3;0;0;0;0;0;0;-1;0;0;0;0;0;0;3;0
Junction 12;0;-3;0;0;0;0;0;0;0;2;7;0;0;0;0;3;0
Junction 13;0;0;0;0;0;0;0;0;0;-2;8;0;0;0;0;3;0
Junction 14;0;0;0;0;0;0;2;0;0;0;0;-1;0;0;0;4;1
Junction 15;0;0;0;0;0;0;-2;0;0;0;0;0;1;0;0;4;-1
Junction 16;0;0;0;0;0;0;0;0;0;3;0;0;0;-1;0;5;1
Junction 17;0;0;0;0;0;0;0;0;0;-3;0;0;0;0;1;5;-1
